sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
F,AK1,Raw,52,Bench,85,SCHWENGL-FORSTHUBER Ilka,"Österr. Meisterschaft AK 1-4 KDK Stockerau, Nö",2014-05-18,
F,AK2,Raw,52,Bench,,,,,Rekord offen
F,AK3,Raw,52,Bench,,,,,Rekord offen
F,AK4,Raw,52,Bench,,,,,Rekord offen
F,Open,Raw,57,Bench,105,ADELMANN Anja,"Österr. Meisterschaft Jun KDK Mayrwies, S",2021-07-24,
F,Jugend,Raw,57,Bench,62.5,ELDER Lena,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,Junioren,Raw,57,Bench,105,ADELMANN Anja,"Österr. Meisterschaft Jun KDK Mayrwies, S",2021-07-24,
F,AK1,Raw,57,Bench,72.5,GAPP Barbara,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
F,AK2,Raw,57,Bench,40,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
F,AK3,Raw,57,Bench,40,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
F,AK4,Raw,57,Bench,,,,,Rekord offen
F,Open,Raw,63,Bench,113,RUESS Sonja,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
F,Jugend,Raw,63,Bench,66,DEUTSCH Emily,"Landesmeisterschaft Oö KDK Freistadt, Oö",2021-06-26,
F,Junioren,Raw,63,Bench,102,ADELMANN Anja,"Landesmeisterschaft Nö KDK Amstetten, Nö",2021-08-14,
F,AK1,Raw,63,Bench,70,KEIML Elisabeth,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK2,Raw,63,Bench,70,KEIML Elisabeth,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK3,Raw,63,Bench,67.5,KEIML Elisabeth,"Europameisterschaft AK 1-4 KDK Györ, Ungarn",2019-03-10,
F,AK4,Raw,63,Bench,47.5,SCHIENER Elisabeth,"Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
F,Open,Raw,69,Bench,113.5,JUNGMANN Raphaela,"Staatsmeisterschaft Allg KDK Wien, W",2024-09-15,
F,Jugend,Raw,69,Bench,63,MARHOLD Elke,"Oberösterr. Meisterschaft KDK Amstetten, Nö",2024-05-12,
F,Junioren,Raw,69,Bench,97,SCHÖPF Desiree,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
F,AK1,Raw,69,Bench,60.5,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK2,Raw,69,Bench,60.5,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK3,Raw,69,Bench,60.5,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK4,Raw,69,Bench,55,"PFEIFFER Friederike, Mag.",Niederösterr. Meisterschaft KDK Amstetten Nö,2022-03-19,
F,Open,Raw,76,Bench,115,ZBIRAL Barbara,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
F,Jugend,Raw,76,Bench,94,PASCHER Pamina,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
F,Junioren,Raw,76,Bench,105.5,SCHÖPF Desiree,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
F,AK1,Raw,76,Bench,82.5,STROHMAIER Martina,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
F,AK2,Raw,76,Bench,40,MEYNDT Ulrike,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK3,Raw,76,Bench,,,,,Rekord offen
F,AK4,Raw,76,Bench,,,,,Rekord offen
F,Open,Raw,84,Bench,123,SULLIVAN Bianca,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
F,Jugend,Raw,84,Bench,72.5,SÖLDNER Daniela,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
F,Junioren,Raw,84,Bench,115,TICHY Alexandra,"Grand Prix Jun KDK Casta, Slowakei",2012-10-06,
F,AK1,Raw,84,Bench,90.5,MÜLLEBNER Erika,"Oberösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK2,Raw,84,Bench,80,MIMRA Dagmar,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK3,Raw,84,Bench,,,,,Rekord offen
F,AK4,Raw,84,Bench,,,,,Rekord offen
F,Open,Raw,84+,Bench,118.5,SULLIVAN Bianca,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,Jugend,Raw,84+,Bench,82.5,RAUTH Romina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,Junioren,Raw,84+,Bench,82.5,RAUTH Romina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,AK1,Raw,84+,Bench,118.5,SULLIVAN Bianca,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK2,Raw,84+,Bench,86,MIMRA Dagmar,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
F,AK3,Raw,84+,Bench,,,,,Rekord offen
F,AK4,Raw,84+,Bench,,,,,Rekord offen
F,Jugend,Raw,43,Deadlift,80,REICH Cheyenne,"Österr. Meisterschaft Jug KDK Stockerau, Nö",2014-05-18,
F,Junioren,Raw,43,Deadlift,80,REICH Cheyenne,"Österr. Meisterschaft Jug KDK Stockerau, Nö",2014-05-18,
F,Open,Raw,47,Deadlift,120,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
F,Jugend,Raw,47,Deadlift,75,MÜLLER Nicole,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
F,Junioren,Raw,47,Deadlift,120,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
F,AK1,Raw,47,Deadlift,107.5,SCHWENGL-FORSTHUBER Ilka,"Europameisterschaft Allg KDK Pilsen, Tschechien",2015-03-25,
F,AK2,Raw,47,Deadlift,107.5,SCHWENGL-FORSTHUBER Ilka,"Europameisterschaft Allg KDK Pilsen, Tschechien",2015-03-25,
F,AK3,Raw,47,Deadlift,,,,,Rekord offen
F,AK4,Raw,47,Deadlift,,,,,Rekord offen
F,Open,Raw,52,Deadlift,190,GAPP Barbara,"Weltmeisterschaft Allg KDK Halmstad, Schweden",2021-09-30,
F,Jugend,Raw,52,Deadlift,117.5,HINTERHÖLZL Nina,"Europameisterschaft Jug KDK Kaunas, Litauen",2018-12-02,
F,Junioren,Raw,52,Deadlift,142.5,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2022-09-18,
F,AK1,Raw,52,Deadlift,190,GAPP Barbara,"Weltmeisterschaft Allg KDK Halmstad, Schweden",2021-09-30,
F,AK2,Raw,52,Deadlift,,,,,Rekord offen
F,AK3,Raw,52,Deadlift,,,,,Rekord offen
F,AK4,Raw,52,Deadlift,,,,,Rekord offen
F,Open,Raw,57,Deadlift,200,GAPP Barbara,"Europameisterschaft Allgemein KDK Tartu, Estland",2023-12-09,
F,Jugend,Raw,57,Deadlift,150,RUTHNER Cornelia,"Wiener Meisterschaft Allgeimein KDK Stockerau, Nö",2026-04-18,
F,Junioren,Raw,57,Deadlift,164.5,PRINZ Lisa,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
F,AK1,Raw,57,Deadlift,200,GAPP Barbara,"Europameisterschaft Allgemein KDK Tartu, Estland",2023-12-09,
F,AK2,Raw,57,Deadlift,112.5,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK3,Raw,57,Deadlift,112.5,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK4,Raw,57,Deadlift,,,,,Rekord offen
F,Open,Raw,63,Deadlift,195,SUPANETZ Pantea,"Europameisterschat Allg KDK Västeras, Schweden",2021-12-12,
F,Jugend,Raw,63,Deadlift,150.5,KOTSCHWAR Viktoria,"Österr. Meisterschaft Jug KDK Stockerau, Nö",2018-06-23,
F,Junioren,Raw,63,Deadlift,182.5,PILWAX Sophia,"Weltmeisterschaft Jun KDK Halmstad, Schweden",2021-09-30,
F,AK1,Raw,63,Deadlift,150,KEIML Elisabeth,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
F,AK2,Raw,63,Deadlift,150,KEIML Elisabeth,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
F,AK3,Raw,63,Deadlift,150,KEIML Elisabeth,"Österr. Meisterschaft Jun KDK Lochen, Oö",2019-06-30,
F,AK4,Raw,63,Deadlift,87.5,SCHIENER Elisabeth,"Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
F,Open,Raw,69,Deadlift,205.5,JUNGMANN Raphaela,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,Jugend,Raw,69,Deadlift,152.5,ELGHANAM Logina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,Junioren,Raw,69,Deadlift,197.5,PILWAX Sophia,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
F,AK1,Raw,69,Deadlift,145.5,KATA Elizabeth,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
F,AK2,Raw,69,Deadlift,130.5,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK3,Raw,69,Deadlift,130.5,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK4,Raw,69,Deadlift,110,"PFEIFFER Friederike, Mag.",Niederösterr. Meisterschaft KDK Amstetten Nö,2022-03-19,
F,Open,Raw,76,Deadlift,220,EGGEL Christina,"Europameisterschaft Allgemein KDK Tartu, Estland",2023-12-09,
F,Jugend,Raw,76,Deadlift,156,STEINER Samia,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,Junioren,Raw,76,Deadlift,201,WALLNER Bettina,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
F,AK1,Raw,76,Deadlift,170,STROHMAIER Martina,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
F,AK2,Raw,76,Deadlift,80,MEYNDT Ulrike,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK3,Raw,76,Deadlift,,,,,Rekord offen
F,AK4,Raw,76,Deadlift,,,,,Rekord offen
F,Open,Raw,84,Deadlift,202.5,WALLNER Bettina,"Landesmeisterschaft T KDK Kennelbach, V",2026-04-12,
F,Jugend,Raw,84,Deadlift,157.5,SÖLDNER Daniela,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2024-05-12,
F,Junioren,Raw,84,Deadlift,202.5,WALLNER Bettina,"Landesmeisterschaft T KDK Kennelbach, V",2026-04-12,
F,AK1,Raw,84,Deadlift,155.5,SCHMID Elisabeth,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
F,AK2,Raw,84,Deadlift,150.5,MIMRA Dagmar,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
F,AK3,Raw,84,Deadlift,,,,,Rekord offen
F,AK4,Raw,84,Deadlift,,,,,Rekord offen
F,Open,Raw,84+,Deadlift,222.5,GIERLINGER Stefanie,"Europameisterschaft Allg KDK Velika Gorica, Kroatien",2024-03-17,
F,Jugend,Raw,84+,Deadlift,155,RAUTH Romina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,Junioren,Raw,84+,Deadlift,177.5,ZOTTL Jeannine,"Länderpokal KDK Dornbirn, V",2025-07-05,
F,AK1,Raw,84+,Deadlift,200,SULLIVAN Bianca,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK2,Raw,84+,Deadlift,175,MIMRA Dagmar,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
F,AK3,Raw,84+,Deadlift,,,,,Rekord offen
F,AK4,Raw,84+,Deadlift,,,,,Rekord offen
F,Jugend,Raw,43,Total,157.5,REICH Cheyenne,"Österr. Meisterschaft Jug KDK Stockerau, Nö",2014-05-18,
F,Junioren,Raw,43,Total,157.5,REICH Cheyenne,"Österr. Meisterschaft Jug KDK Stockerau, Nö",2014-05-18,
F,Open,Raw,47,Total,292.5,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
F,Jugend,Raw,47,Total,185,MÜLLER Nicole,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
F,Junioren,Raw,47,Total,120,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
F,AK1,Raw,47,Total,297.5,SCHWENGL-FORSTHUBER Ilka,"Europameisterschaft Allg KDK Pilsen, Tschechien",2015-03-25,
F,AK2,Raw,47,Total,297.5,SCHWENGL-FORSTHUBER Ilka,"Europameisterschaft Allg KDK Pilsen, Tschechien",2015-03-25,
F,AK3,Raw,47,Total,,,,,Rekord offen
F,AK4,Raw,47,Total,,,,,Rekord offen
F,Open,Raw,52,Total,425,BIJELIC Jelena,"Europameisterschaft Allg KDK Malaga, Spanien",2025-03-23,
F,Jugend,Raw,52,Total,277.5,HINTERHÖLZL Nina,"Europameisterschaft Jug KDK Kaunas, Litauen",2018-12-02,
F,Junioren,Raw,52,Total,337.5,MAYEDA Keiko,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2022-09-18,
F,AK1,Raw,52,Total,380,GAPP Barbara,"Weltmeisterschaft Allg KDK Halmstad, Schweden",2021-09-30,
F,AK2,Raw,52,Total,,,,,Rekord offen
F,AK3,Raw,52,Total,,,,,Rekord offen
F,AK4,Raw,52,Total,,,,,Rekord offen
F,Open,Raw,57,Total,405,GAPP Barbara,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
F,Jugend,Raw,57,Total,310,RUTHNER Cornelia,"Wiener Meisterschaft Allgeimein KDK Stockerau, Nö",2026-04-18,
F,Junioren,Raw,57,Total,402.5,ADELMANN Anja,"Europameisterschat Allg KDK Västeras, Schweden",2021-12-12,
F,AK1,Raw,57,Total,405,GAPP Barbara,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
F,AK2,Raw,57,Total,225,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK3,Raw,57,Total,225,ULMER-WOLF Anneliese,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-12-01,
F,AK4,Raw,57,Total,,,,,Rekord offen
F,Open,Raw,63,Total,475.5,SUPANETZ Pantea,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2022-09-18,
F,Jugend,Raw,63,Total,312.5,KOTSCHWAR Viktoria,"Weltmeisterschaft Jug KDK Calgary, Kanada",2018-06-17,
F,Junioren,Raw,63,Total,412.5,PILWAX Sophia,"Weltmeisterschaft Jun KDK Halmstad, Schweden",2021-09-30,
F,AK1,Raw,63,Total,342.5,KEIML Elisabeth,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
F,AK2,Raw,63,Total,342.5,KEIML Elisabeth,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
F,AK3,Raw,63,Total,335,KEIML Elisabeth,"Österr. Meisterschaft Jun KDK Lochen, Oö",2019-06-30,
F,AK4,Raw,63,Total,200,SCHIENER Elisabeth,"Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
F,Open,Raw,69,Total,500.5,JUNGMANN Raphaela,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,Jugend,Raw,69,Total,342.5,ELGHANAM Logina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,Junioren,Raw,69,Total,445,PILWAX Sophia,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
F,AK1,Raw,69,Total,328.5,KATA Elizabeth,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
F,AK2,Raw,69,Total,296,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK3,Raw,69,Total,296,KEIML Elisabeth,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
F,AK4,Raw,69,Total,235,"PFEIFFER Friederike, Mag.",Niederösterr. Meisterschaft KDK Amstetten Nö,2022-03-19,
F,Open,Raw,76,Total,505,EGGEL Christina,"Europameisterschaft Allgemein KDK Tartu, Estland",2023-12-09,
F,Jugend,Raw,76,Total,369.5,PASCHER Pamina,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
F,Junioren,Raw,76,Total,466,WALLNER Bettina,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
F,AK1,Raw,76,Total,405,STROHMAIER Martina,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
F,AK2,Raw,76,Total,180,MEYNDT Ulrike,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK3,Raw,76,Total,,,,,Rekord offen
F,AK4,Raw,76,Total,,,,,Rekord offen
F,Open,Raw,84,Total,514.5,SULLIVAN Bianca,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
F,Jugend,Raw,84,Total,360,SÖLDNER Daniela,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
F,Junioren,Raw,84,Total,475,TICHY Alexandra,"Grand Prix Jun KDK Casta, Slowakei",2012-10-06,
F,AK1,Raw,84,Total,366,SCHMID Elisabeth,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
F,AK2,Raw,84,Total,360.5,MIMRA Dagmar,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK3,Raw,84,Total,,,,,Rekord offen
F,AK4,Raw,84,Total,,,,,Rekord offen
F,Open,Raw,84+,Total,550,GIERLINGER Stefanie,"Europameisterschaft Allg KDK Velika Gorica, Kroatien",2024-03-17,
F,Jugend,Raw,84+,Total,397.5,RAUTH Romina,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
F,Junioren,Raw,84+,Total,420,ZOTTL Jeannine,"Länderpokal KDK Dornbirn, V",2025-07-05,
F,AK1,Raw,84+,Total,511,SULLIVAN Bianca,"Niederösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
F,AK2,Raw,84+,Total,412,MIMRA Dagmar,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
F,AK3,Raw,84+,Total,,,,,Rekord offen
F,AK4,Raw,84+,Total,,,,,Rekord offen
